"ent","sex","eda5c","e_con","niv_ins","t_loc","rama","ing7c","mh_col"
"09",1,3,5,4,1,4,7,6
"09",2,4,4,1,1,2,1,5
"09",1,2,1,2,1,4,3,5
"09",1,3,5,4,1,3,2,5
"09",1,4,5,4,1,3,5,6
"09",2,3,1,3,1,4,5,5
"09",2,3,1,3,1,4,5,5
"09",2,3,6,1,1,4,1,5
"09",1,3,5,4,1,4,7,6
"09",2,4,5,1,1,4,1,5
"09",1,2,5,4,1,4,2,5
"09",2,3,4,2,1,2,3,6
"09",1,1,5,4,1,2,3,5
"09",1,3,5,2,1,1,3,5
"09",1,2,6,2,2,6,3,6
"09",1,1,1,2,2,6,3,6
"09",1,1,1,2,2,6,3,6
"09",2,3,3,4,1,4,7,6
"09",1,3,5,2,1,4,4,6
"15",2,2,4,1,1,4,2,5
"15",2,2,4,1,1,4,2,5
"15",1,3,5,1,3,3,2,5
"15",1,3,6,4,1,4,3,5
"15",1,3,6,4,1,4,3,5
"15",1,3,6,4,1,4,3,5
"15",1,3,6,4,1,4,3,5
"15",1,2,3,4,2,4,4,6
"15",1,3,5,1,1,3,1,6
"15",1,3,5,1,1,3,1,6
"15",2,3,5,4,1,3,5,6
"15",2,3,5,4,1,3,5,6
"15",2,3,2,3,1,2,4,6
"15",1,2,6,3,1,3,2,5
"15",1,3,5,4,1,4,3,6
"15",1,3,5,4,1,4,3,6
"15",1,3,5,4,1,4,3,6
"15",1,3,5,4,1,4,3,6
"15",1,3,5,2,1,4,4,5
"15",1,4,5,3,1,3,7,6
"15",1,4,5,3,1,3,7,6
"15",1,4,5,3,1,3,7,6
"15",1,3,5,4,2,4,3,5
"15",1,3,5,4,2,4,3,5
"15",1,3,5,4,2,4,3,5
"14",1,3,5,3,1,3,7,6
"14",1,3,5,3,1,2,7,5
"14",1,3,5,3,1,2,7,5
"14",1,2,5,4,1,4,7,6
"14",2,2,5,4,1,4,3,6
"14",2,3,5,4,1,4,4,6
"19",1,2,5,4,1,1,5,6
"19",1,3,5,3,1,2,5,6
"19",1,3,5,3,1,3,5,6
"19",1,2,1,1,1,1,2,5
"21",1,3,5,4,1,2,5,6
"21",1,2,6,4,1,1,4,6
"21",1,2,1,4,2,4,4,6
"21",1,2,6,4,1,4,7,6
"21",1,3,5,4,1,4,5,6
"11",1,4,5,1,1,3,3,5
"11",2,3,6,2,1,4,1,5
"11",2,3,5,3,1,3,4,6
"11",1,3,5,2,1,2,3,6
"05",1,3,5,4,1,2,2,6
"05",2,2,5,3,2,3,2,5
"10",2,3,2,2,1,4,3,6
"24",1,2,1,3,1,1,3,5
"24",2,3,5,3,1,4,2,5
"31",1,3,5,3,1,3,7,6
"31",1,1,1,3,1,4,2,6
"08",1,3,5,4,1,3,7,6
"08",1,2,5,4,1,6,7,6
"28",1,4,5,4,1,4,7,6
"28",1,2,5,4,1,4,3,6
"30",1,3,1,4,1,4,7,5
"30",2,2,5,4,1,4,7,6
"30",1,2,5,2,3,4,5,6
"12",2,2,5,2,1,3,3,5
"01",1,3,2,4,1,4,7,6
"16",1,4,5,1,1,4,3,5
"16",1,3,5,4,1,3,5,6
"16",1,2,5,3,1,1,4,5
"16",1,2,6,4,1,2,4,6
"16",1,3,5,3,1,4,7,5
"15",1,3,5,2,2,1,4,5
"15",2,3,3,3,1,4,2,6
"05",1,2,5,3,2,2,4,6
"05",1,2,5,3,2,2,3,6
"27",1,2,6,4,1,4,7,6
"08",1,3,5,1,1,4,2,6
"02",1,3,2,3,1,1,2,5
"02",1,3,5,2,1,4,7,5
"02",1,3,5,4,1,4,7,6
