"ent","sex","eda5c","e_con","niv_ins","t_loc","rama","ing7c","mh_col","eda"
"09",1,3,5,4,1,4,7,6,"63"
"09",2,4,4,1,1,2,1,5,"70"
"09",1,2,1,2,1,4,3,5,"43"
"09",1,3,5,4,1,3,2,5,"62"
"09",1,4,5,4,1,3,5,6,"68"
"09",2,3,1,3,1,4,5,5,"56"
"09",2,3,1,3,1,4,5,5,"56"
"09",2,3,6,1,1,4,1,5,"46"
"09",1,3,5,4,1,4,7,6,"54"
"09",2,4,5,1,1,4,1,5,"78"
"09",1,2,5,4,1,4,2,5,"44"
"09",2,3,4,2,1,2,3,6,"63"
"09",1,3,5,1,1,2,2,6,"51"
"09",1,1,5,4,1,2,3,5,"21"
"09",1,3,5,2,1,1,3,5,"48"
"09",1,1,1,2,2,6,3,6,"23"
"09",1,1,1,2,2,6,3,6,"23"
"09",2,3,3,4,1,4,7,6,"51"
"09",1,3,5,2,1,4,4,6,"49"
"09",2,3,4,4,1,3,3,5,"60"
"09",1,2,1,4,1,3,7,6,"30"
"15",2,2,4,1,1,4,2,5,"41"
"15",1,3,5,1,3,3,2,5,"46"
"15",1,3,6,4,1,4,3,5,"64"
"15",1,3,6,4,1,4,3,5,"64"
"15",1,3,6,4,1,4,3,5,"64"
"15",1,3,6,4,1,4,3,5,"64"
"15",1,2,3,4,2,4,4,6,"40"
"15",1,2,3,4,2,4,4,6,"40"
"15",1,2,3,4,2,4,4,6,"40"
"15",1,3,5,3,1,3,7,6,"51"
"15",1,3,5,3,1,3,7,6,"51"
"15",1,3,5,3,1,3,7,6,"51"
"15",1,2,1,4,1,4,4,5,"31"
"15",1,2,1,4,1,4,4,5,"31"
"15",1,3,5,4,2,1,3,6,"50"
"15",1,3,5,4,2,1,3,6,"50"
"15",1,2,5,3,1,3,7,6,"43"
"15",1,2,5,3,1,3,7,6,"43"
"15",2,3,2,3,1,2,4,6,"50"
"15",1,2,6,3,1,3,2,5,"30"
"15",1,3,5,4,1,4,3,6,"52"
"15",1,3,5,4,1,4,3,6,"52"
"15",1,3,5,4,1,4,3,6,"52"
"15",1,3,5,4,1,4,3,6,"52"
"15",1,3,5,4,1,4,3,6,"52"
"15",1,3,5,4,1,4,3,6,"52"
"15",1,3,5,2,1,4,4,5,"59"
"15",1,3,5,4,2,4,3,5,"59"
"14",1,3,5,4,1,3,7,6,"54"
"14",1,3,5,3,1,2,7,5,"59"
