t_loc,ent,sex,eda,n_hij,e_con,salario,c_ocu11c,ing7c,dur9c,ambito2,anios_esc,hrsocup,ingocup,tcco,scian,mh_col
1,9,1,63,0,5,3080,1,7,6,4,17,40,0,0,12,1
1,9,2,70,3,4,3080,5,1,3,2,3,24,0,0,5,0
1,9,1,62,0,5,3080,6,2,8,3,12,70,0,3,7,0
1,9,1,54,0,5,3080,1,7,3,3,17,15,0,0,12,1
1,9,1,54,0,5,3080,1,7,3,3,17,15,0,0,12,1
1,9,1,36,0,2,3080,1,7,6,3,16,48,0,0,16,1
1,9,1,36,0,2,3080,1,7,6,3,16,48,0,0,16,1
1,9,1,39,0,6,3080,8,7,8,3,12,60,0,0,18,0
1,9,1,48,0,5,3080,5,3,1,2,6,0,0,0,4,0
2,9,1,23,0,1,3080,10,3,7,0,8,50,0,0,1,1
1,9,1,27,0,5,3080,5,2,8,2,11,63,0,3,4,0
1,9,1,41,0,5,3080,8,1,7,2,6,50,0,2,18,0
1,9,2,60,3,4,3080,6,3,5,3,13,35,6450,0,7,0
1,15,2,41,2,4,3080,8,2,8,2,0,60,5590,3,18,0
1,15,1,64,0,6,3080,7,3,3,2,16,24,6880,0,8,0
1,15,1,64,0,6,3080,7,3,3,2,16,24,6880,0,8,0
1,15,1,64,0,6,3080,7,3,3,2,16,24,6880,0,8,0
2,15,1,40,0,3,3080,1,4,2,3,17,2,12900,0,12,1
1,15,1,51,0,5,3080,6,7,8,3,9,84,0,0,7,1
1,15,1,51,0,5,3080,6,7,8,3,9,84,0,0,7,1
1,15,1,51,0,5,3080,6,7,8,3,9,84,0,0,7,1
1,15,2,47,2,5,3080,3,5,6,5,16,40,0,0,6,1
1,15,2,47,2,5,3080,3,5,6,5,16,40,0,0,6,1
1,15,1,31,0,1,3080,1,4,7,3,17,54,15000,0,19,0
1,15,1,31,0,1,3080,1,4,7,3,17,54,15000,0,19,0
1,15,1,43,0,5,3080,6,7,7,3,12,54,0,0,7,1
1,15,1,52,0,5,3080,1,3,6,3,16,46,0,0,12,1
1,15,1,52,0,5,3080,1,3,6,3,16,46,0,0,12,1
1,15,1,66,0,5,3080,6,7,7,3,11,54,0,0,7,1
2,14,1,39,0,5,3080,5,4,6,2,12,46,12900,0,4,0
1,14,1,57,0,5,3080,6,3,9,3,12,0,0,0,6,1
1,14,1,49,0,5,3080,6,7,8,2,9,60,0,0,6,1
1,14,1,46,0,5,3080,3,5,8,3,9,60,20000,0,5,1
1,19,1,32,0,1,3080,5,2,6,2,4,45,0,0,4,0
1,21,1,47,0,5,3080,6,4,6,3,17,48,0,0,7,1
1,21,1,31,0,6,3080,6,7,7,3,17,54,0,0,18,1
1,11,1,30,0,3,3080,5,2,4,2,9,28,3440,0,5,0
1,5,1,54,0,1,3080,6,3,6,4,12,48,0,0,7,1
1,24,1,83,0,5,3080,6,1,3,3,6,18,3000,0,6,1
1,31,2,41,2,5,3080,5,3,7,3,12,56,8600,0,18,1
1,31,1,74,0,5,3080,5,2,3,3,6,15,4300,0,19,0
2,31,1,50,0,5,3080,10,4,7,0,12,54,12900,0,1,1
1,31,1,44,0,5,3080,1,7,8,3,17,60,0,0,12,1
1,8,1,46,0,5,3080,6,4,8,3,12,66,0,0,7,1
1,28,1,64,0,5,3080,3,7,6,3,12,48,0,0,18,1
1,30,2,48,3,1,3080,8,2,6,3,6,48,5160,0,19,1
2,15,1,19,0,2,3080,8,3,6,3,9,42,6450,0,18,0
1,15,1,47,0,5,3080,1,4,6,3,17,45,10000,0,12,1
1,5,1,63,0,1,3080,5,4,5,2,17,36,14000,0,4,0
1,5,1,63,0,1,3080,5,4,5,2,17,36,14000,0,4,0
1,27,1,55,0,5,3080,3,7,3,2,15,20,0,0,8,1
