t_loc,ent,eda,c_ocu11c,ing7c,ambito2,anios_esc,ingocup,mh_col
1,9,65,8,2,3,6,4300,0
1,9,68,3,5,4,16,50000,1
1,9,54,1,7,3,17,0,1
1,9,54,1,7,3,17,0,1
1,9,39,8,7,3,12,0,0
1,9,39,6,4,3,17,0,1
1,9,47,5,3,2,9,6450,0
2,9,23,10,3,0,8,0,1
1,9,27,5,2,2,11,0,0
1,9,27,5,2,2,11,0,0
1,9,51,8,7,3,12,0,1
1,9,41,8,1,2,6,0,0
1,15,41,8,2,2,0,5590,0
1,15,64,7,3,2,16,6880,0
1,15,51,6,7,3,9,0,1
2,15,37,3,3,3,12,0,1
1,15,47,3,5,5,16,0,1
1,15,31,1,4,3,17,15000,0
1,15,31,1,4,3,17,15000,0
1,15,43,6,7,3,12,0,1
1,15,52,1,3,3,16,0,1
1,15,52,1,3,3,16,0,1
1,15,52,1,3,3,16,0,1
1,15,66,6,7,3,11,0,1
1,14,43,5,3,2,6,0,0
1,14,35,4,7,0,15,0,1
1,19,62,5,3,2,6,6450,0
1,21,59,6,5,4,17,0,1
1,21,41,5,2,2,6,0,0
1,21,35,1,4,3,17,0,1
1,11,30,5,2,2,9,3440,0
1,11,45,8,3,2,6,7740,0
1,5,32,5,4,2,9,12900,0
2,5,49,1,3,3,12,8600,1
1,5,54,6,3,4,12,0,1
1,31,35,3,7,3,17,0,1
2,31,50,10,4,0,12,12900,1
1,8,49,1,5,3,17,0,1
1,1,51,5,7,4,12,0,1
3,16,49,5,7,3,6,0,1
2,15,62,7,4,2,6,0,0
2,15,19,8,3,3,9,6450,0
1,27,33,1,5,3,17,34400,1
1,2,49,5,7,3,11,0,1
1,2,50,1,2,3,17,0,1
1,4,22,5,2,2,6,4300,0
1,17,35,3,7,4,12,0,1
1,32,44,5,4,2,9,10750,0
2,22,18,5,3,2,9,8600,0
1,13,55,6,2,3,16,0,1
1,4,48,8,4,2,17,12900,0
1,11,72,8,7,3,12,0,1
1,16,41,10,7,0,6,0,1
1,16,42,5,4,2,9,10750,1
1,25,50,5,3,2,9,8600,0
1,30,59,10,1,0,12,333,1
1,30,44,5,1,2,12,0,0
2,6,54,10,2,0,17,4167,1
2,16,58,6,3,3,6,9000,1
2,16,54,8,2,2,3,5160,0
2,19,63,6,3,3,6,9000,1
2,23,29,1,3,2,12,7740,1
2,28,36,10,2,3,12,3500,1
2,5,54,5,3,2,6,6450,0
2,8,42,5,3,3,9,6450,0
2,8,30,8,3,2,12,8600,0
2,8,30,8,3,2,12,8600,0
2,11,61,10,5,0,16,0,1
2,12,51,3,5,3,9,21500,1
2,16,59,10,2,0,9,4300,1
2,30,53,5,2,2,3,5160,0
2,31,52,8,4,3,11,12000,0
2,32,70,10,7,0,0,0,1
3,4,52,10,1,0,12,2580,1
3,15,35,1,7,3,18,0,1
3,15,46,6,4,3,9,0,1
3,16,69,5,3,2,2,6450,0
3,18,48,8,4,3,9,12900,0
3,25,47,5,3,3,6,6450,0
3,25,47,5,3,3,6,6450,0
3,31,24,5,4,3,16,12900,1
3,32,38,8,2,3,12,4300,0
3,16,53,10,2,0,8,4167,1
3,27,74,10,1,0,0,2000,1
4,1,39,6,7,3,12,0,1
4,2,29,5,7,2,12,0,0
4,7,72,10,2,0,2,5250,1
4,8,45,7,5,2,9,25800,0
4,11,58,5,7,3,6,0,1
4,11,69,10,4,0,6,10000,1
4,14,45,10,7,0,6,0,1
4,15,43,10,7,0,2,0,1
4,16,41,5,3,2,3,7740,0
4,16,81,10,2,0,0,3333,1
4,20,33,5,3,2,12,8600,0
4,20,57,5,2,3,9,5160,0
4,21,49,10,1,0,6,0,1
4,21,44,5,4,2,9,12900,0
4,28,38,5,1,2,12,5160,0
4,28,40,10,1,2,12,2150,1
1,9,49,3,5,4,16,0,1
1,9,36,8,4,3,9,10750,1
1,9,42,3,3,4,17,0,1
1,9,58,6,7,3,9,0,1
1,15,62,3,5,4,16,20000,1
1,15,49,3,5,5,16,0,1
1,15,37,6,4,3,16,0,1
1,14,47,5,3,3,12,0,1
1,14,50,3,7,3,12,0,1
1,14,24,1,4,3,15,12000,1
1,5,65,6,2,3,17,4300,1
2,31,49,5,1,3,7,3000,1
1,30,51,5,2,2,5,5160,0
1,1,17,1,2,2,10,5000,0
1,7,49,10,5,0,17,25000,1
1,25,50,6,5,3,17,20000,1
1,25,48,7,4,2,12,12000,1
1,25,45,3,5,4,17,28000,1
2,29,58,5,3,2,6,6880,0
1,11,50,5,4,3,12,9890,1
1,22,50,7,4,3,12,0,1
1,26,48,3,7,0,17,0,1
2,20,29,6,4,3,10,12900,0
2,3,60,6,1,3,6,0,1
2,20,55,6,3,3,6,8000,0
2,31,51,3,7,3,6,0,1
3,16,49,5,4,3,9,9890,1
3,17,61,6,7,3,17,0,1
3,21,46,5,5,2,9,17200,0
3,30,98,6,3,2,6,9030,0
4,5,45,1,4,3,18,12900,1
4,7,46,5,3,2,6,6450,0
